[2025-11-05 15:03:06,529] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.CSV: 'csv'>]
[2025-11-05 15:03:06,529] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:06,529] 65 docling.pipeline.base_pipeline - INFO - Processing document rain_event_sensor_log_0707.csv
[2025-11-05 15:03:06,530] 60 docling.backend.csv_backend - INFO - Parsing CSV with delimiter: ","
[2025-11-05 15:03:06,530] 70 docling.backend.csv_backend - INFO - Detected 7 lines
[2025-11-05 15:03:06,533] 338 docling.document_converter - INFO - Finished converting document rain_event_sensor_log_0707.csv in 0.00 sec.
[2025-11-05 15:03:06,537] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 15:03:06,545] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:06,545] 65 docling.pipeline.base_pipeline - INFO - Processing document sensor_calibration_guidelines.docx
[2025-11-05 15:03:06,571] 338 docling.document_converter - INFO - Finished converting document sensor_calibration_guidelines.docx in 0.03 sec.
[2025-11-05 15:03:06,574] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 15:03:06,581] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:06,582] 65 docling.pipeline.base_pipeline - INFO - Processing document sofia_arvidsson_cv.docx
[2025-11-05 15:03:06,601] 338 docling.document_converter - INFO - Finished converting document sofia_arvidsson_cv.docx in 0.03 sec.
[2025-11-05 15:03:06,603] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.CSV: 'csv'>]
[2025-11-05 15:03:06,603] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:06,603] 65 docling.pipeline.base_pipeline - INFO - Processing document spike_detection_test_0526.csv
[2025-11-05 15:03:06,603] 60 docling.backend.csv_backend - INFO - Parsing CSV with delimiter: ","
[2025-11-05 15:03:06,603] 70 docling.backend.csv_backend - INFO - Detected 7 lines
[2025-11-05 15:03:06,603] 338 docling.document_converter - INFO - Finished converting document spike_detection_test_0526.csv in 0.00 sec.
[2025-11-05 15:03:06,605] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.PPTX: 'pptx'>]
[2025-11-05 15:03:06,613] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:06,613] 65 docling.pipeline.base_pipeline - INFO - Processing document ui_demo_walkthrough_slides.pptx
[2025-11-05 15:03:06,626] 338 docling.document_converter - INFO - Finished converting document ui_demo_walkthrough_slides.pptx in 0.02 sec.
